movie_id,actor_id,actor_name,character_name,,,
949,218094,Kai Soremekun,Prostitute,,,
949,1491009,Peter Blackwell,Bar Couple (uncredited),,,
949,1137847,Trevor Coppola,Restaurant Patron (uncredited),,,
949,1504112,Mary Kircher,Police Woman (uncredited),,,
949,1504568,Darin Mangan,Grocery Store Employee (uncredited),,,
949,20625,Robert Miranda,Cusamano (uncredited),,,
949,1502517,Manny Perry,Grocery Store Cop (uncredited),,,
949,114625,Iva Franks Singer,Waitress (uncredited),,,
949,1576562,Tim Werner,Bank Guard (uncredited),,,
949,1584544,Philip Ettington,Ellis (uncredited),,,
11860,3,Harrison Ford,Linus Larrabee,,,
11860,15887,Julia Ormond,Sabrina Fairchild,,,
11860,17141,Greg Kinnear,David Larrabee,,,
11860,4301,Angie Dickinson,Mrs. Ingrid Tyson,,,
11860,12957,Nancy Marchand,Maude Larrabee,,,
11860,8937,John Wood,Fairchild,,,
11860,16554,Richard Crenna,Patrick Tyson,,,
11860,34485,Lauren Holly,Elizabeth Tyson,,,
11860,13314,Dana Ivey,Mack,,,
11860,20234,Fanny Ardant,Irene,,,
11860,73827,Patrick Bruel,Louis,,,
11860,13242,Paul Giamatti,Scott,,,
11860,1163,Miriam Colón,Rosa,,,
11860,138242,Elizabeth Franz,Joanna,,,
11860,62531,Valérie Lemercier,Martine,,,
11860,59206,Becky Ann Baker,Linda,,,
11860,163775,John C. Vennema,Ron,,,
11860,452,Margo Martindale,Nurse,,,
11860,52475,J. Smith-Cameron,Carol,,,
11860,1853632,Christine Luneau-Lipton,Ticket Taker,,,
11860,1853633,Michael Dees,Singer at Larrabee Party,,,
11860,153226,Denis Holmes,Butler,,,
11860,1853634,Jo-Jo Lowe,Red Head,,,
11860,28029,Ira Wheeler,Bartender,,,
11860,1853638,Philippa Cooper,Kelly,,,
11860,97364,Ayako Kawahara,India,,,
11860,1317065,François Genty,Make-Up Assistant,,,
11860,6554,Guillaume Gallienne,Assistant,,,
11860,37918,Inés Sastre,Model,,,
11860,1217813,Phina Oruche,Model,,,
11860,1853644,Andrea Behalikova,Model,,,
11860,1115935,Jennifer Herrera,Model,,,
11860,1853645,Kristina Kumlin,Model,,,
11860,1853646,Eva Linderholm,Model,,,
11860,76093,Carmen Chaplin,Paris Friend,,,
11860,1853647,Micheline Van de Velde,Paris Friend,,,
11860,1853651,Joanna Rhodes,Paris Friend,,,
11860,1853653,Alan Boone,Paris Friend,,,
11860,1460738,Patrick Forster-Delmas,Paris Friend,,,
11860,1853654,Kentaro Matsuo,Paris Friend,,,
11860,1632066,Peter McKernan,Helicopter Pilot,,,
11860,1853655,Ed Connelly,Gulf Stream Pilot,,,
11860,4184,Ronald L. Schwary,Sheik,,,
11860,1853657,Alvin Lum,Tyson Butler,,,
11860,1853658,Siching Song,Mother in Hospital,,,
11860,1357100,Phil Nee,Father in Hospital,,,
11860,157428,Randy Becker,Trainer,,,
11860,1211979,Susan Browning,Secretary,,,
11860,1853660,Anthony Mondal,Moroccan Waiter,,,
11860,1853661,Peter Parks,Senator,,,
11860,1548251,Woodrow Asai,Japanese Businessman (uncredited),,,
11860,1221663,Eric Bruno Borgman,Airport Employee (uncredited),,,
11860,1811338,Michael Cline,Head Butler (uncredited),,,
11860,1853663,Christopher Del Gaudio,Businessman in Window (uncredited),,,
11860,1099770,Philippe Hartmann,Wedding Guest (uncredited),,,
11860,1853664,Jerry Quinn,Pizza Patron (uncredited),,,
11860,1853665,Dori Rosenthal,Ballroom Dancer (uncredited),,,
45325,53283,Jonathan Taylor Thomas,Tom Sawyer,,,
45325,51214,Brad Renfro,Huck Finn,,,
45325,38581,Rachael Leigh Cook,Becky Thatcher,,,
45325,8316,Michael McShane,Muff Potter,,,
45325,87007,Amy Wright,Aunt Polly,,,
45325,57448,Eric Schweig,Injun Joe,,,
45325,102313,Tamara Mello,Townsperson,,,
9091,15111,Jean-Claude Van Damme,Darren Francis Thomas McCord,,,
9091,6280,Powers Boothe,Joshua Foss,,,
9091,8656,Dorian Harewood,Matthew Hallmark,,,
9091,10361,Raymond J. Barry,Vizepräsident Daniel Bender,,,
9091,12928,Ross Malinger,Tyler,,,
9091,79088,Whittni Wright,Emily McCord,,,
710,517,Pierce Brosnan,James Bond,,,
710,48,Sean Bean,Alec Trevelyan,,,
710,10695,Izabella Scorupco,Natalya Fyodorovna Simonova,,,
710,10696,Famke Janssen,Xenia Onatopp,,,
710,10671,Joe Don Baker,Jack Wade,,,
710,5309,Judi Dench,M,,,
710,3757,Gottfried John,General Arkady Grigorovich Ourumov,,,
710,1923,Robbie Coltrane,Valentin Dmitrovich Zukovsky,,,
710,10697,Alan Cumming,Boris Grishenko,,,
710,10698,Tchéky Karyo,Defense Minister Dmitri Mishkin,,,
710,9906,Desmond Llewelyn,Q,,,
710,10699,Samantha Bond,Miss Moneypenny,,,
710,10648,Michael Kitchen,Bill Tanner,,,
710,10700,Serena Gordon,Caroline,,,
710,10701,Simon Kunz,Severnaya Duty Officer,,,
710,55911,Billy J. Mitchell,Admiral Chuck Farrell,,,
710,27425,Constantine Gregory,Computer Store Manager,,,
710,6613,Minnie Driver,Irina,,,
710,29054,Michelle Arthur,Anna,,,
710,41742,Ravil Isyanov,Mig Pilot,,,
